Nome: SAO PAULO - INTERLAGOS
Codigo Estacao: A771
Latitude: -23.724501
Longitude: -46.677501
Altitude: 771
Situacao: Operante
Data Inicial: 2022-01-01
Data Final: 2022-06-30
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);
2022-01-08;0900;18,2;
2022-01-08;1000;18,1;
2022-01-08;1100;18,6;
2022-01-08;1200;18,5;
2022-01-08;1300;19;
2022-01-08;1400;19,2;
2022-01-08;1500;19,9;
2022-01-08;1600;19,3;
2022-01-08;1700;18,2;
2022-01-08;1800;17,7;
2022-01-08;1900;18,3;
2022-01-08;2000;18,3;
2022-01-08;2100;16,8;
2022-01-08;2200;16,5;
2022-01-08;2300;17,2;
2022-01-09;0000;17,5;
2022-01-09;0100;17,4;
2022-01-09;0200;17,3;
2022-01-09;0300;16,8;
2022-01-09;0400;16,9;
2022-01-09;0500;16,6;
2022-01-09;0600;16,7;
2022-01-09;0700;16,9;
2022-01-09;0800;16,8;
2022-01-09;0900;17,3;
2022-01-09;1000;17,1;
2022-01-09;1100;17,5;
2022-01-09;1200;18,2;
2022-01-09;1300;18,3;
2022-01-09;1400;17,8;
2022-01-09;1500;16,6;
2022-01-09;1600;16,3;
2022-01-09;1700;16;
2022-01-09;1800;16,3;
2022-01-09;1900;16,6;
2022-01-09;2000;16,5;
2022-01-09;2100;17,1;
2022-01-09;2200;17;
2022-01-09;2300;17;
2022-01-10;0000;17;
2022-01-10;0100;16,7;
2022-01-10;0200;16,7;
2022-01-10;0300;16,5;
2022-01-10;0400;16,7;
2022-01-10;0500;16,7;
2022-01-10;0600;16,9;
2022-01-10;0700;17;
2022-01-10;0800;17,3;
2022-01-10;0900;17,3;
2022-01-10;1000;17,9;
2022-01-10;1100;18,6;
2022-01-10;1200;20;
2022-01-10;1300;20,9;
2022-01-10;1400;22;
2022-01-10;1500;22,3;
2022-01-10;1600;23,6;
2022-01-10;1700;24;
2022-01-10;1800;23,5;
2022-01-10;1900;21,7;
2022-01-10;2000;21,3;
2022-01-10;2100;20,4;
2022-01-10;2200;20;
2022-01-10;2300;18,3;
2022-01-11;0000;18,3;
2022-01-11;0100;18,4;
2022-01-11;0200;18,5;
2022-01-11;0300;18,5;
2022-01-11;0400;18,5;
2022-01-11;0500;18,2;
2022-01-11;0600;18,3;
2022-01-11;0700;18,1;
2022-01-11;0800;18;
2022-01-11;0900;18,1;
2022-01-11;1000;18,2;
2022-01-11;1100;19,4;
2022-01-11;1200;19,9;
2022-01-11;1300;21,4;
2022-01-11;1400;23;
2022-01-11;1500;23,5;
2022-01-11;1600;22;
2022-01-11;1700;21;
2022-01-11;1800;19,4;
2022-01-11;1900;19,6;
2022-01-11;2000;20,2;
2022-01-11;2100;20,7;
2022-01-11;2200;20,2;
2022-01-11;2300;19,8;
2022-01-12;0000;19,6;
2022-01-12;0100;19,2;
2022-01-12;0200;19,2;
